,ID,Label
21706,ab96813a-bbca-11e8-b2bc-ac1f6b6435d0,16|2|0
21707,aca5b05a-bbca-11e8-b2bc-ac1f6b6435d0,16|13
21708,acbf8b1a-bbca-11e8-b2bc-ac1f6b6435d0,7|0
21709,aceb1aaa-bbca-11e8-b2bc-ac1f6b6435d0,16
21710,ad3be804-bbca-11e8-b2bc-ac1f6b6435d0,12|0
21711,ade732d6-bbca-11e8-b2bc-ac1f6b6435d0,6
21712,af611c58-bbca-11e8-b2bc-ac1f6b6435d0,7
21713,af8bd114-bbca-11e8-b2bc-ac1f6b6435d0,0
21714,aeac1330-bbca-11e8-b2bc-ac1f6b6435d0,16|0
21715,afb206ea-bbca-11e8-b2bc-ac1f6b6435d0,0|13
21716,aec32eb2-bbca-11e8-b2bc-ac1f6b6435d0,2
21717,b0087728-bbca-11e8-b2bc-ac1f6b6435d0,6
21718,b04643dc-bbca-11e8-b2bc-ac1f6b6435d0,7
21719,b0f785ca-bbca-11e8-b2bc-ac1f6b6435d0,16|4
21720,b1dd46be-bbca-11e8-b2bc-ac1f6b6435d0,16|0
21721,b2527290-bbca-11e8-b2bc-ac1f6b6435d0,7|0
21722,b2a03976-bbca-11e8-b2bc-ac1f6b6435d0,14
21723,b37d0310-bbca-11e8-b2bc-ac1f6b6435d0,14
21724,b4a0fb0c-bbca-11e8-b2bc-ac1f6b6435d0,16|0
21725,b544b5e4-bbca-11e8-b2bc-ac1f6b6435d0,1|0
21726,b6c79814-bbca-11e8-b2bc-ac1f6b6435d0,13|16|7
21727,b6204eec-bbca-11e8-b2bc-ac1f6b6435d0,2
21728,b5854fa0-bbca-11e8-b2bc-ac1f6b6435d0,16
21729,b7b5879a-bbca-11e8-b2bc-ac1f6b6435d0,0
21730,b735c514-bbca-11e8-b2bc-ac1f6b6435d0,14|0
21731,b9e29b8e-bbca-11e8-b2bc-ac1f6b6435d0,16|7
21732,b8dee8c8-bbca-11e8-b2bc-ac1f6b6435d0,0
21733,b9bad040-bbca-11e8-b2bc-ac1f6b6435d0,16|6
21734,ba7fc5a8-bbca-11e8-b2bc-ac1f6b6435d0,2|0
21735,bccaaef4-bbca-11e8-b2bc-ac1f6b6435d0,16|3
21736,bb1046b4-bbca-11e8-b2bc-ac1f6b6435d0,9|7|0
21737,bb672ca4-bbca-11e8-b2bc-ac1f6b6435d0,5|0
21738,bbb8710e-bbca-11e8-b2bc-ac1f6b6435d0,2|0
21739,bc286b76-bbca-11e8-b2bc-ac1f6b6435d0,4
21740,bd8860e8-bbca-11e8-b2bc-ac1f6b6435d0,2|0
21741,bde7517a-bbca-11e8-b2bc-ac1f6b6435d0,6
21742,c022e12a-bbca-11e8-b2bc-ac1f6b6435d0,16|5
21743,bf571996-bbca-11e8-b2bc-ac1f6b6435d0,12|16|0
21744,bf5dee74-bbca-11e8-b2bc-ac1f6b6435d0,16|4
21745,c1a3fd4a-bbca-11e8-b2bc-ac1f6b6435d0,13
21746,c1fd7eb0-bbca-11e8-b2bc-ac1f6b6435d0,10|4
21747,c128217a-bbca-11e8-b2bc-ac1f6b6435d0,0
21748,c12fbfca-bbca-11e8-b2bc-ac1f6b6435d0,16|3
21749,c1bdac0e-bbca-11e8-b2bc-ac1f6b6435d0,7|0
21750,c3fb5f34-bbca-11e8-b2bc-ac1f6b6435d0,0
21751,c292afc6-bbca-11e8-b2bc-ac1f6b6435d0,5|0
21752,c46c19fe-bbca-11e8-b2bc-ac1f6b6435d0,16|10|2
21753,c477f314-bbca-11e8-b2bc-ac1f6b6435d0,5
21754,c3995186-bbca-11e8-b2bc-ac1f6b6435d0,10
21755,c5df29d4-bbca-11e8-b2bc-ac1f6b6435d0,14|0
21756,c4f4b840-bbca-11e8-b2bc-ac1f6b6435d0,14
21757,c7199942-bbca-11e8-b2bc-ac1f6b6435d0,8
21758,c75125b0-bbca-11e8-b2bc-ac1f6b6435d0,13
21759,c5a5a934-bbca-11e8-b2bc-ac1f6b6435d0,16|0
21760,c75bdbae-bbca-11e8-b2bc-ac1f6b6435d0,16
21761,c9365c38-bbca-11e8-b2bc-ac1f6b6435d0,0
21762,c8eaf9d2-bbca-11e8-b2bc-ac1f6b6435d0,1
21763,ca650604-bbca-11e8-b2bc-ac1f6b6435d0,14
21764,c9658f76-bbca-11e8-b2bc-ac1f6b6435d0,16|9|0
21765,c9634b76-bbca-11e8-b2bc-ac1f6b6435d0,14
