ID,Label
ab96813a-bbca-11e8-b2bc-ac1f6b6435d0,16|2|0
aca5b05a-bbca-11e8-b2bc-ac1f6b6435d0,16|13
acbf8b1a-bbca-11e8-b2bc-ac1f6b6435d0,7|0
aceb1aaa-bbca-11e8-b2bc-ac1f6b6435d0,16
ad3be804-bbca-11e8-b2bc-ac1f6b6435d0,12|0
ade732d6-bbca-11e8-b2bc-ac1f6b6435d0,6
af611c58-bbca-11e8-b2bc-ac1f6b6435d0,7
af8bd114-bbca-11e8-b2bc-ac1f6b6435d0,0
aeac1330-bbca-11e8-b2bc-ac1f6b6435d0,16|0
afb206ea-bbca-11e8-b2bc-ac1f6b6435d0,0|13
aec32eb2-bbca-11e8-b2bc-ac1f6b6435d0,2
b0087728-bbca-11e8-b2bc-ac1f6b6435d0,6
b04643dc-bbca-11e8-b2bc-ac1f6b6435d0,7
b0f785ca-bbca-11e8-b2bc-ac1f6b6435d0,16|4
b1dd46be-bbca-11e8-b2bc-ac1f6b6435d0,16|0
b2527290-bbca-11e8-b2bc-ac1f6b6435d0,7|0
b2a03976-bbca-11e8-b2bc-ac1f6b6435d0,14
b37d0310-bbca-11e8-b2bc-ac1f6b6435d0,14
b4a0fb0c-bbca-11e8-b2bc-ac1f6b6435d0,16|0
b544b5e4-bbca-11e8-b2bc-ac1f6b6435d0,1|0
b6c79814-bbca-11e8-b2bc-ac1f6b6435d0,13|16|7
b6204eec-bbca-11e8-b2bc-ac1f6b6435d0,2
b5854fa0-bbca-11e8-b2bc-ac1f6b6435d0,16
b7b5879a-bbca-11e8-b2bc-ac1f6b6435d0,0
b735c514-bbca-11e8-b2bc-ac1f6b6435d0,14|0
b9e29b8e-bbca-11e8-b2bc-ac1f6b6435d0,16|7
b8dee8c8-bbca-11e8-b2bc-ac1f6b6435d0,0
b9bad040-bbca-11e8-b2bc-ac1f6b6435d0,16|6
ba7fc5a8-bbca-11e8-b2bc-ac1f6b6435d0,2|0
bccaaef4-bbca-11e8-b2bc-ac1f6b6435d0,16|3
bb1046b4-bbca-11e8-b2bc-ac1f6b6435d0,9|7|0
bb672ca4-bbca-11e8-b2bc-ac1f6b6435d0,5|0
bbb8710e-bbca-11e8-b2bc-ac1f6b6435d0,2|0
bc286b76-bbca-11e8-b2bc-ac1f6b6435d0,4
bd8860e8-bbca-11e8-b2bc-ac1f6b6435d0,2|0
bde7517a-bbca-11e8-b2bc-ac1f6b6435d0,6
c022e12a-bbca-11e8-b2bc-ac1f6b6435d0,16|5
bf571996-bbca-11e8-b2bc-ac1f6b6435d0,12|16|0
bf5dee74-bbca-11e8-b2bc-ac1f6b6435d0,16|4
c1a3fd4a-bbca-11e8-b2bc-ac1f6b6435d0,13
c1fd7eb0-bbca-11e8-b2bc-ac1f6b6435d0,10|4
c128217a-bbca-11e8-b2bc-ac1f6b6435d0,0
c12fbfca-bbca-11e8-b2bc-ac1f6b6435d0,16|3
c1bdac0e-bbca-11e8-b2bc-ac1f6b6435d0,7|0
c3fb5f34-bbca-11e8-b2bc-ac1f6b6435d0,0
c292afc6-bbca-11e8-b2bc-ac1f6b6435d0,5|0
c46c19fe-bbca-11e8-b2bc-ac1f6b6435d0,16|10|2
c477f314-bbca-11e8-b2bc-ac1f6b6435d0,5
c3995186-bbca-11e8-b2bc-ac1f6b6435d0,10
c5df29d4-bbca-11e8-b2bc-ac1f6b6435d0,14|0
c4f4b840-bbca-11e8-b2bc-ac1f6b6435d0,14
c7199942-bbca-11e8-b2bc-ac1f6b6435d0,8
c75125b0-bbca-11e8-b2bc-ac1f6b6435d0,13
c5a5a934-bbca-11e8-b2bc-ac1f6b6435d0,16|0
c75bdbae-bbca-11e8-b2bc-ac1f6b6435d0,16
c9365c38-bbca-11e8-b2bc-ac1f6b6435d0,0
c8eaf9d2-bbca-11e8-b2bc-ac1f6b6435d0,1
ca650604-bbca-11e8-b2bc-ac1f6b6435d0,14
c9658f76-bbca-11e8-b2bc-ac1f6b6435d0,16|9|0
c9634b76-bbca-11e8-b2bc-ac1f6b6435d0,14
ccfd4570-bbca-11e8-b2bc-ac1f6b6435d0,16|2
ca7c4670-bbca-11e8-b2bc-ac1f6b6435d0,6
ca4a9170-bbca-11e8-b2bc-ac1f6b6435d0,1|2|0
cbdc2b3e-bbca-11e8-b2bc-ac1f6b6435d0,12
cb94da68-bbca-11e8-b2bc-ac1f6b6435d0,9|0
cd66a8bc-bbca-11e8-b2bc-ac1f6b6435d0,9
cd760adc-bbca-11e8-b2bc-ac1f6b6435d0,17
cdaab52a-bbca-11e8-b2bc-ac1f6b6435d0,12|16|0
cd31f5e0-bbca-11e8-b2bc-ac1f6b6435d0,2
cf968fa8-bbca-11e8-b2bc-ac1f6b6435d0,12|2
cea763a6-bbca-11e8-b2bc-ac1f6b6435d0,7
d0ace4a0-bbca-11e8-b2bc-ac1f6b6435d0,12|0
cffc1224-bbca-11e8-b2bc-ac1f6b6435d0,7|2|0
cee7f934-bbca-11e8-b2bc-ac1f6b6435d0,5|0
d0c1b088-bbca-11e8-b2bc-ac1f6b6435d0,3
d159ba7c-bbca-11e8-b2bc-ac1f6b6435d0,2|0
